ENTITY_NAME	ATTRIBUTE_NAME	DOMAIN_NAME	#	Module	A/B/ID/RL/AS	CC/BIE	Business Term	Dictionary Entry Name	Object Class Term Qualifier	Object Class Term	Property Term Qualifier	Property Term	Datatype Qualifiry	Representation Term	Associate Object Class Term Qualifier	Associate Object Class Term	Relation Object Class Term Qualifier	Relation Object Class Term	DESCRIPTION	Card.
		Identifier	1	0.DT		DT	Identifier	Identifier. Type				Identifier		Identifier						
		Identifier	2	0.DT		CC	Identifier	Identifier. Content		Identifier		Content							"A character string used to identify and distinguish uniquely, one instance of an object in an identification scheme from all other objects within the same scheme."	1..1
		Identifier	3	0.DT		SC	Identification Scheme	Identification Scheme. Identifier		Identification Scheme				Identifier					The identification of the identification scheme.	0..1
		Identifier	4	0.DT		SC	Identification Scheme Name	Identification Scheme. Name. Text		Identification Scheme		Name		Text					The name of the identification scheme.	0..1
		Identifier	5	0.DT		SC	Identification Scheme Agency	Identification Scheme Agency. . Identifier		Identification Scheme Agency				Identifier					The identification of the agency that maintains the identification scheme.	0..1
		Identifier	6	0.DT		SC	Identification Scheme Agency Name	Identification Scheme. Agency Name. Text		Identification Scheme		Agency Name		Text					The name of the agency that maintains the identification scheme.	0..1
		Identifier	7	0.DT		SC	Identification Scheme Version	Identification Scheme. Version. Identifier		Identification Scheme		Version		Identifier					The version of the identification scheme.	0..1
		Identifier	8	0.DT		SC	Identification Scheme Data URI	Identification Scheme Data. Uniform Resource. Identifier		Identification Scheme Data		Uniform Resource		Identifier					The Uniform Resource Identifier that identifies where the identification scheme data is located.	0..1
		Identifier	9	0.DT		SC	Identification Scheme URI	Identification Scheme. Uniform Resource. Identifier		Identification Scheme		Uniform Resource		Identifier					The Uniform Resource Identifier that identifies where the identification scheme is located.	0..1
		Reference Identifier	10	0.DT		DT	Reference Identifier	Reference Identifier. Type				Reference Identifier	Reference	Identifier						
		Reference Identifier	11	0.DT		CC	Reference Identifier	Identifier. Content		Identifier		Content							"A character string used to identify and distinguish uniquely, one instance of an object in an identification scheme from all other objects within the same scheme."	1..1
		Reference Identifier	12	0.DT		SC	Reference Identification Scheme	Identification Scheme. Identifier		Identification Scheme				Identifier					The identification of the identification scheme.	0..1
		Reference Identifier	13	0.DT		SC	Reference Identification Scheme Name	Identification Scheme. Name. Text		Identification Scheme		Name		Text					The name of the identification scheme.	0..1
		Reference Identifier	14	0.DT		SC	Reference Identification Scheme Agency	Identification Scheme Agency. . Identifier		Identification Scheme Agency				Identifier					The identification of the agency that maintains the identification scheme.	0..1
		Reference Identifier	15	0.DT		SC	Reference Identification Scheme Agency Name	Identification Scheme. Agency Name. Text		Identification Scheme		Agency Name		Text					The name of the agency that maintains the identification scheme.	0..1
		Reference Identifier	16	0.DT		SC	Reference Identification Scheme Version	Identification Scheme. Version. Identifier		Identification Scheme		Version		Identifier					The version of the identification scheme.	0..1
		Reference Identifier	17	0.DT		SC	Reference Identification Scheme Data URI	Identification Scheme Data. Uniform Resource. Identifier		Identification Scheme Data		Uniform Resource		Identifier					The Uniform Resource Identifier that identifies where the identification scheme data is located.	0..1
		Reference Identifier	18	0.DT		SC	Reference Identification Scheme URI	Identification Scheme. Uniform Resource. Identifier		Identification Scheme		Uniform Resource		Identifier					The Uniform Resource Identifier that identifies where the identification scheme is located.	0..1
		Indicator	19	0.DT		DT	Indicator	Indicator. Type				Indicator		Indicator						
		Indicator	20	0.DT		CC	Indicator	Indicator. Content		Indicator		Content							"A character string used to identify and distinguish uniquely, one instance of an object in an identification scheme from all other objects within the same scheme."	1..1
		Indicator	21	0.DT		SC	Identification Scheme	Indicator. Format. Text		Indicator		Format		Text					The identification of the identification scheme.	0..1
		Amount	22	0.DT		DT	Amount	Amount. Type				Amount		Amount						
		Amount	23	0.DT		CC	Amount	Amount. Content		Amount		Content							A number of monetary units specified in a currency where the unit of currency is explicit or implied.	1..1
		Amount	24	0.DT		SC	Currency	Amount. Currency. Identifier		Amount		Currency		Identifier					The currency of the amount.	0..1
		Functional Amount	25	0.DT		DT	Functional Amount	Functional Amount. Type				Functional Amount	Functional	Amount						
		Functional Amount	26	0.DT		CC	Functional Amount	Amount. Content		Amount		Content							A number of monetary units specified in a currency where the unit of currency is explicit or implied.	1..1
		Functional Amount	27	0.DT		SC	Functional Currency	Amount. Currency. Identifier		Amount		Currency		Identifier					The currency of the amount.	0..1
		Local Amount	28	0.DT		DT	Local Amount	Local Amount. Type				Local Amount	Local	Amount						
		Local Amount	29	0.DT		CC	Local Amount	Amount. Content		Amount		Content							A number of monetary units specified in a currency where the unit of currency is explicit or implied.	1..1
		Local Amount	30	0.DT		SC	Local Currency	Amount. Currency. Identifier		Amount		Currency		Identifier					The currency of the amount.	0..1
		Reporting Amount	31	0.DT		DT	Reporting Amount	Reporting Amount. Type				Reporting Amount	Reporting	Amount						
		Reporting Amount	32	0.DT		CC	Reporting Amount	Amount. Content		Amount		Content							A number of monetary units specified in a currency where the unit of currency is explicit or implied.	0..1
		Reporting Amount	33	0.DT		SC	Reporting Currency	Amount. Currency. Identifier		Amount		Currency		Identifier					The currency of the amount.	0..1
		Transaction Amount	34	0.DT		DT	Transaction Amount	Transaction Amount. Type				Transaction Amount	Transaction	Amount						
		Transaction Amount	35	0.DT		CC	Transaction Amount	Amount. Content		Amount		Content							A number of monetary units specified in a currency where the unit of currency is explicit or implied.	1..1
		Transaction Amount	36	0.DT		SC	Transaction Currency	Amount. Currency. Identifier		Amount		Currency		Identifier					The currency of the amount.	0..1
		Percent	37	0.DT		DT	Percentage	Percentage. Type				Percentage		Percentage						
		Percent	38	0.DT		CC	Percentage	Numeric. Content		Numeric		Content							"Numeric information that is assigned or is determined by calculation, counting or sequencing."	1..1
		Percent	39	0.DT		SC	Percent Format	Numeric. Format. Text		Numeric		Format		Text					"Whether the number is an integer, decimal, real number or percentage."	0..1
		Quantity	40	0.DT		DT	Quantity	Quantity. Type				Quantity		Quantity						
		Quantity	41	0.DT		CC	Quantity	Quantity. Content		Quantity		Content							A counted number of non-monetary units possibly including fractions.	1..1
		Quantity	42	0.DT		SC	Quantity UOM	Quantity. Unit. Code		Quantity		Unit		Code					The unit of the quantity.	0..1
		Quantity	43	0.DT		SC	Quantity UOM List	Quantity Unit. Code List. Identifier		Quantity Unit		Code List		Identifier					The quantity unit code list.	0..1
		Quantity	44	0.DT		SC	Quantity UOM Agency Name	Quantity Unit. Code List Agency. Identifier		Quantity Unit		Code List Agency		Identifier					The identification of the agency that maintains the quantity unit code list.	0..1
		Quantity	45	0.DT		SC	Quantity UOM Agency	Quantity Unit. Code List Agency Name. Text		Quantity Unit		Code List Agency Name		Text					The name of the agency which maintains the quantity unit code list.	0..1
		Quantity	46	0.DT		DT	Basic Quantity	Basic Quantity. Type				Basic Quantity	Basic	Quantity						
		Quantity	47	0.DT		CC	Quantity	Quantity. Content		Quantity		Content							A counted number of non-monetary units possibly including fractions.	1..1
		Quantity	48	0.DT		SC	Quantity UOM	Quantity. Unit. Code		Quantity		Unit		Code					The unit of the quantity.	0..1
		Quantity	49	0.DT		SC	Quantity UOM List	Quantity Unit. Code List. Identifier		Quantity Unit		Code List		Identifier					The quantity unit code list.	0..1
		Quantity	50	0.DT		SC	Quantity UOM Agency Name	Quantity Unit. Code List Agency. Identifier		Quantity Unit		Code List Agency		Identifier					The identification of the agency that maintains the quantity unit code list.	0..1
		Quantity	51	0.DT		SC	Quantity UOM Agency	Quantity Unit. Code List Agency Name. Text		Quantity Unit		Code List Agency Name		Text					The name of the agency which maintains the quantity unit code list.	0..1
		Code	52	0.DT		DT	Code	Code. Type				Code		Code						
		Code	53	0.DT		CC	Code	Code. Content		Code		Content							"A character string (letters, figures or symbols) that for brevity and/or language independence may be used to represent or replace a definitive value or text of an attribute."	1..1
		Code	54	0.DT		SC	Code List	Code List. Identifier		Code List				Identifier					The identification of a list of codes.	0..1
		Code	55	0.DT		SC	Code List Agency	Code List. Agency. Identifier		Code List		Agency		Identifier					An agency that maintains one or more code lists.	0..1
		Code	56	0.DT		SC	Code List Agency Name	Code List. Agency Name. Text		Code List		Agency Name		Text					The name of the agency that maintains the code list.	0..1
		Code	57	0.DT		SC	Code List Name	Code List. Name. Text		Code List		Name		Text					The name of a list of codes.	0..1
		Code	58	0.DT		SC	Code List Version	Code List. Version. Identifier		Code List		Version		Identifier					The version of the code list.	0..1
		Code	59	0.DT		SC	Code Name	Code. Name. Text		Code		Name		Text					The textual equivalent of the code content.	0..1
		Code	60	0.DT		SC	Language	Language. . Identifier		Language				Identifier					The identifier of the language used in the corresponding text string.	0..1
		Code	61	0.DT		SC	Code List URI	Code List. Uniform Resource. Identifier		Code List		Uniform Resource		Identifier					The Uniform Resource Identifier that identifies where the code list is located.	0..1
		Code	62	0.DT		SC	Code List Scheme URI	Code List Scheme. Uniform Resource. Identifier		Code List Scheme		Uniform Resource		Identifier					The Uniform Resource identifier that identifies where the code list scheme is located.	0..1
		Currency Code	63	0.DT		DT	Currency Code	Currency Code. Type				Currency Code	Currency	Code						
		Currency Code	64	0.DT		CC	Currency Code	Code. Content		Code		Content								1..1
		Currency Code	65	0.DT		SC	Currency Code List	Code List. Identifier		Code List				Identifier						0..1
		Currency Code	66	0.DT		SC	Currency Code Agency	Code List. Agency. Identifier		Code List		Agency		Identifier						0..1
		Currency Code	67	0.DT		SC	Currency Code Version	Code List. Version. Identifier		Code List		Version		Identifier						0..1
		Currency Code	68	0.DT		SC	Currency Code URI	Code List. Uniform Resource. Identifier		Code List		Uniform Resource		Identifier						0..1
		Country Code	69	0.DT		DT	Country Code	Country Code. Type				Country Code	Country	Code						
		Country Code	70	0.DT		CC	Country Code	Code. Content		Code		Content								1..1
		Country Code	71	0.DT		SC	Country Code List	Code List. Identifier		Code List				Identifier						0..1
		Country Code	72	0.DT		SC	Country Code Agency	Code List. Agency. Identifier		Code List		Agency		Identifier						0..1
		Country Code	73	0.DT		SC	Country Code Version	Code List. Version. Identifier		Code List		Version		Identifier						0..1
		Country Code	74	0.DT		SC	Country Code URI	Code List. Uniform Resource. Identifier		Code List		Uniform Resource		Identifier						0..1
		State Province Code	75	0.DT		DT	State Province Code	State Province Code. Type				State Province Code	State Province	Code						
		State Province Code	76	0.DT		CC	State Province Code	Code. Content		Code		Content								1..1
		State Province Code	77	0.DT		SC	State Province Code List	Code List. Identifier		Code List				Identifier						0..1
		State Province Code	78	0.DT		SC	State Province Code Agency	Code List. Agency. Identifier		Code List		Agency		Identifier						0..1
		State Province Code	79	0.DT		SC	State Province Code Version	Code List. Version. Identifier		Code List		Version		Identifier						0..1
		State Province Code	80	0.DT		SC	State Province Code URI	Code List. Uniform Resource. Identifier		Code List		Uniform Resource		Identifier						0..1
		Date Time	81	0.DT		DT	Date Time	Date Time. Type				Date Time		Date Time						
		Date Time	82	0.DT		CC	Date Time	Date Time. Content		Date Time		Content							The particular point in the progression of time.	1..1
		Date Time	83	0.DT		SC	Date Time Format	Date Time. Format. Text		Date Time		Format		Text					The format of the date/time content.	0..1
		Date	84	0.DT		DT	Date	Date. Type				Date		Date						
		Date	85	0.DT		CC	Date	Date Time. Content		Date Time		Content							The particular point in the progression of time.	1..1
		Date	86	0.DT		SC	Date Format	Date Time. Format. Text		Date Time		Format		Text					The format of the date/time content.	0..1
		Time	87	0.DT		DT	Time	Time. Type				Time		Time						
		Time	88	0.DT		CC	Time	Date Time. Content		Date Time		Content							The particular point in the progression of time.	1..1
		Time	89	0.DT		SC	Time Format	Date Time. Format. Text		Date Time		Format		Text					The format of the date/time content.	0..1
		Text	90	0.DT		DT	Text. Type	Text. Type				Text								
		Text	91	0.DT		CC	Text. Content	Text. Content		Text		Content							A character string (I.e. a finite set of characters) generally in the form of words of a language.	1..1
		Text	92	0.DT		SC	Language. Identifier	Language. Identifier		Language				Identifier					The identifier of the language used in the corresponding text string.	0..1
		Text	93	0.DT		SC	Language. Locale. Identifier	Language. Locale. Identifier		Language		Locale		Identifier					The identification of the locale of the language.	0..1
		Name	94	0.DT		DT	Name. Type	Name. Type				Name								
		Name	95	0.DT		CC	Text. Content	Text. Content		Text		Content							A character string (I.e. a finite set of characters) generally in the form of words of a language.	1..1
		Name	96	0.DT		SC	Language. Identifier	Language. Identifier		Language				Identifier					The identifier of the language used in the corresponding text string.	0..1
		Name	97	0.DT		SC	Language. Locale. Identifier	Language. Locale. Identifier		Language		Locale		Identifier					The identification of the locale of the language.	0..1
		Numeric	98	0.DT		DT	Numeric. Type	Numeric. Type				Numeric								
		Numeric	99	0.DT		CC	Numeric. Content	Numeric. Content		Numeric		Content							"Numeric information that is assigned or is determined by calculation, counting or sequencing."	1..1
		Numeric	100	0.DT		SC	Numeric. Format. Text	Numeric. Format. Text		Numeric		Format		Text					"Whether the number is an integer, decimal, real number or percentage."	0..1
		Value	101	0.DT		DT	Value. Type	Value. Type				Value								
		Value	102	0.DT		CC	Numeric. Content	Numeric. Content		Numeric		Content							"Numeric information that is assigned or is determined by calculation, counting or sequencing."	1..1
		Value	103	0.DT		SC	Numeric. Format. Text	Numeric. Format. Text		Numeric		Format		Text					"Whether the number is an integer, decimal, real number or percentage."	0..1
		Rate	104	0.DT		DT	Rate. Type	Rate. Type				Rate								
		Rate	105	0.DT		CC	Numeric. Content	Numeric. Content		Numeric		Content							"Numeric information that is assigned or is determined by calculation, counting or sequencing."	1..1
		Rate	106	0.DT		SC	Numeric. Format. Text	Numeric. Format. Text		Numeric		Format		Text					"Whether the number is an integer, decimal, real number or percentage."	0..1
ADDRESS			107	1.Core	A	CC	Address	Address. Detail. 		Address 		Detail							Address information.	
ADDRESS		TEXT 100	108	1.Core	B	CC	Street Address1	Address. Street Address1. Text		Address 		Street Address1		Text					Line 1 of the street address.	0..1
ADDRESS		TEXT 100	109	1.Core	B	CC	Street Address2	Address. Street Address2. Text		Address 		Street Address2		Text					Line 2 of the street address.	0..1
ADDRESS		CITY NAME	110	1.Core	B	CC	City Name	Address. City Name. Name		Address 		City Name		Name					City name of this address.	0..1
ADDRESS		STATE PROVINCE CODE	111	1.Core	B	CC	State Province Code	Address. State Province. Code		Address 		State Province		Code					The state or province of this address (ISO 3166-2).	0..1
ADDRESS		POSTAL CODE	112	1.Core	B	CC	Postal Code	Address. Postal. Code		Address 		Postal		Code					The postal code of the city of this address.	0..1
ADDRESS		COUNTRY CODE	113	1.Core	B	CC	Country Code	Address. Country. Code		Address 		Country		Code					The country code of this address (ISO 3166-1).	0..1
CONTACT			114	1.Core	A	CC	Contact	Contact. Detail. 		Contact 		Detail							Contact information.	
			115	1.Core	ID	CC	Contact ID	Contact. ID		Contact		Identification		Identifier					A unique identifier for this contact.	1..1
CONTACT		NAME 100	116	1.Core	B	CC	Name	Contact. Name. Text		Contact 		Name		Text					Name of the contact.	0..1
CONTACT		PHONE NUMBER	117	1.Core	B	CC	Phone	Contact. Phone. Code		Contact 		Phone		Code					The phone number of the contact.	0..1
CONTACT		EMAIL	118	1.Core	B	CC	Email	Contact. Email. Code		Contact 		Email		Code					The email address of the contact.	0..1
			119	1.Core	A	CC	Person	Person. Detail. 		Person		Detail							A person who is an employee and perform ERP system operation.	
			120	1.Core	ID	CC	Person ID	Person. ID		Person		Identification		Identifier					A unique identifier for the individuals entering transactions into the accounting and/or ERP system. 	1..1
			121	1.Core	B	CC	Name	Person. Name. Name		Person		Name		Name					A user's name.	0..1
			122	1.Core	RL	CC	Department Code	Person. Department. Code		Person		Department						Code	A code of user's department roster.	0..1
			123	1.Core	B	CC	Department	Person. Reporting Department. Text		Person		Reporting Department		Text					"The name of the department or division of the company to which the employee reports, expressed as text."	0..1
