DOMAIN_NAME	FORMAT	DATATYPE	COMPOUND	MIN_LENGTH	MAX_LENGTH	VAR_FIXED	TOTAL_DIGITS	DECIMALS	SIGNED_UNSIGNED	MIN_VALUE	MIN_EXCLUSIVE	MAX_VALUE	MAX_EXCLUSIVE	PATTERN	CODELISTS	DESCRIPTION	XMLTAG	ISO21378DataType	ISO21378_Representation
TEXT 1000	an..1000	Alpha Numeric	No		1000	Variable											TypeText1000	String	%1000s
TEXT 500	an..500	Alpha Numeric	No		500	Variable											TypeText500	String	%500s
IDENTIFIER 200	an..200	Alpha Numeric	No		200	Variable											TypeIdentifier200	String	%200s
NAME 200	an..200	Alpha Numeric	No		200	Variable											TypeName200	String	%200s
TEXT 200	an..200	Alpha Numeric	No		200	Variable											TypeText200	String	%200s
TEXT 128	an..128	Alpha Numeric	No		128	Variable											TypeText128	String	%128s
CITY NAME	an..100	Alpha Numeric	No		100	Variable											TypeCityName	String	%100s
CUSTOMER TYPE CODE	an..100	Alpha Numeric	No		100	Variable											TypeCustomerTypeCode	String	%100s
EMAIL	an..100	Alpha Numeric	No		100	Variable											TypeEmail	String	%100s
GL ACCOUNT NUMBER 100	an..100	Alpha Numeric	No		100	Variable											TypeGlAccountNumber	String	%100s
IDENTIFIER 100	an..100	Alpha Numeric	No		100	Variable											TypeIdentifier100	String	%100s
NAME 100	an..100	Alpha Numeric	No		100	Variable											TypeName100	String	%100s
SUPPLIER TYPE CODE	an..100	Alpha Numeric	No		100	Variable											TypeSupplierTypeCode	String	%100s
TAX IDENTIFICATION NUMBER	an..100	Alpha Numeric	No		100	Variable											TypeTaxIdentificationNumber	String	%100s
TEXT 100	an..100	Alpha Numeric	No		100	Variable											TypeText100	String	%100s
BANK CODE	an..80	Alpha Numeric	No		80	Variable											TypeBankCode	String	%80s
BRANCH CODE	an..80	Alpha Numeric	No		80	Variable											TypeBranchCode	String	%80s
IDENTIFIER 80	an..80	Alpha Numeric	No		80	Variable											TypeIdentifier80	String	%80s
INVENTORY PRODUCT TYPE CODE	an..80	Alpha Numeric	No		80	Variable											TypeInventoryProductTypeCode	String	%80s
MEASUREMENT UNIT CODE	an..80	Alpha Numeric	No		80	Variable											TypeMeasurementUnitCode	String	%80s
NAME 80	an..80	Alpha Numeric	No		80	Variable											TypeName80	String	%80s
PAYMENT TERM CODE	an..80	Alpha Numeric	No		80	Variable											TypePaymentTermCode	String	%80s
TEXT 80	an..80	Alpha Numeric	No		80	Variable											TypeText80	String	%80s
IDENTIFIER 75	an..75	Alpha Numeric	No		75	Variable											TypeIdentifier75	String	%75s
IDENTIFIER 60	an..60	Alpha Numeric	No		60	Variable											TypeIdentifier60	String	%60s
NAME 60	an..60	Alpha Numeric	No		60	Variable											TypeName60	String	%60s
TEXT 60	an..60	Alpha Numeric	No		60	Variable											TypeText60	String	%60s
TEXT 50	an..50	Alpha Numeric	No		50	Variable											TypeText50	String	%50s
TEXT 40	an..40	Alpha Numeric	No		40	Variable											TypeText40	String	%40s
STATUS CODE	an..30	Alpha Numeric	No		30	Variable											TypeStatusCode	String	%30s
TEXT 30	an..30	Alpha Numeric	No		30	Variable											TypeText30	String	%30s
ACCOUNT TYPE	an..25	Alpha Numeric	No		25	Variable											TypeAccountType	String	%25s
IDENTIFIER 25	an..25	Alpha Numeric	No		25	Variable											TypeIdentifier25	String	%25s
INVENTORY ABC CODE	an..25	Alpha Numeric	No		25	Variable											TypeInventoryAbcCode	String	%25s
NAME 25	an..25	Alpha Numeric	No		25	Variable											TypeName25	String	%25s
REGION	an..25	Alpha Numeric	No		25	Variable											TypeRegion	String	%25s
REGULATOR CODE	an..25	Alpha Numeric	No		25	Variable											TypeRegulatorCode	String	%25s
TAX TYPE CODE	an..25	Alpha Numeric	No		25	Variable											TypeTaxTypeCode	String	%25s
TEXT 25	an..25	Alpha Numeric	No		25	Variable											TypeText25	String	%25s
FILE ENCODING RULE CODE	an..20	Alpha Numeric	No		20	Variable											TypeFileEncodingRuleCode	String	%20s
PHONE NUMBER	an..20	Alpha Numeric	No		20	Variable											TypePhoneNumber	String	%20s
POSTAL CODE	an..20	Alpha Numeric	No		20	Variable											TypePostalCode	String	%20s
