Module	#	Kind	Table	No.	Name	DictionaryEntryName	Description	XBRL_GL_TaxonomyElement	ObjectClassTermQualifier	ObjectClassTerm	PropertyTermQualifier	PropertyTerm	DatatypeQualifier	RepresentationTerm	AssociatedObjectClassTermQualifier	AssociatedObjectClass	Datatype	Representation	Level	Key	RefField	RefTable	OccurrenceMin	OccurrenceMax
Base	1	ABIE	BAS Business Segment	0		ADC_ Business Segment. Details	"The BAS_Business_Segment (Table 4) and the BAS_Business_Segment_Hierarchy (Table 6) have been designed to tabularize the portions of an organizational chart that is reflected in the business transactions as structural units, e.g. business unit, department, cost center and project. Instructions on how to implement the business segment structures (4.4.2 and 4.4.3) are detailed in Annex A.The fields within the BAS_Business_Segment (Table 4) are used to capture the individual organizational unit represented by each box on an organizational diagram."		ADC	Business Segment													0	n
Base	1	IDBIE	BAS Business Segment	1	Business Segment Code	ADC_ Business Segment. ID	The code of each business segment.	"XBRL GL tracks hierarchy ID, hierarchy description, and hierarchy type, so it can track code ""NA,"" description ""N. America,"" and type ""global area"" using gl-cor:accountSubID, gl-cor:accountSubDescription, and gl-cor:accountSubType, respectively. Interrelations and hierarchies are captured by gl-cor:parentSubAccountType (What is the hierarchy type this unit rolls up to?)."	ADC	Business Segment		Identification		Identifier			String	%25s	1	PK			1	1
Base	1	BBIE	BAS Business Segment	2	Business Segment Name	ADC_ Business Segment. Business Segment. Name	The name of the business segment.	See above; an unlimited number of units and structures are permitted.	ADC	Business Segment		Business Segment		Name			String	%25s	1				1	1
Base	1	BBIE	BAS Business Segment	3	Segment Reference Level	ADC_ Business Segment. Segment Reference Level. Code	The relative level of the segment with being the consolidated level and numbers increasing through lower levels of the organizational chart.	The relationships between higher-level hierarchies are captured once per Business Segment.	ADC	Business Segment		Segment Reference Level		Code			String	%2c	1				1	1
Base	1	BBIE	BAS Business Segment	4	Organization Type Name	ADC_ Business Segment. Organization Type. Name	"Indicates the name of the organization type, for example, ""Department"" and ""Cost Center""."	gl-bus:organizationIdentifier	ADC	Business Segment		Organization Type		Name			String	%60s	1				1	1
Base	2	ABIE	BAS Business Segment Hierarchy	0		ADC_ Business Segment Hierarchy. Details	"The fields in the BAS_Business_Segment_Hierarchy (Table 6) are used to capture the relationships between the individual organization units. The table assumes a one_to_one relationship and captures the data necessary to consolidate transactions occurring for child level organizational units into higher level organizational structures (for example, business unit to division).  Instructions on how to implement the business segment structures (see 4.4.2 and 4.4.3) are detailed in Annex A."		ADC	Business Segment Hierarchy													0	n
Base	2	RBIE	BAS Business Segment Hierarchy	1	Parent Code	ADC_ Business Segment Hierarchy. Parent. ADC_ Business Segment	The code of the parent business segment. Shall match the Business_Segment_Code in the BAS_Business_Segment table.	gl-bus:organizationIdentifier	ADC	Business Segment Hierarchy		Parent			ADC	Business Segment	String	%25s	1	PK/REF	Business_Segment_Code	BAS_Business_Segment	1	n
Base	2	RBIE	BAS Business Segment Hierarchy	2	Child Code	ADC_ Business Segment Hierarchy. Child. ADC_ Business Segment	The code of the child business segment. Shall match the Business_Segment_Code in the BAS_Business_Segment table.	gl-bus:organizationIdentifier	ADC	Business Segment Hierarchy		Child			ADC	Business Segment	String	%25s	1	PK/REF	Business_Segment_Code	BAS_Business_Segment	1	n
Base	3	ABIE	BAS Employee	0		ADC_ Employee. Details	The personnel information of the employee in an independent accounting unit is contained in Table 8.		ADC	Employee													0	n
Base	3	IDBIE	BAS Employee	1	Employee ID	ADC_ Employee. ID	The unique identifier for an employee. Typically auto-generated by the system.	"gl-cor:identifierCode with gl-cor:identifierCategory = ""employee"""	ADC	Employee		Identification		Identifier			String	%60s	1	PK			1	1
