Module,num,Kind,Table,No,Name,DictionaryEntryName,Description,XBRLGL,ObjectClassTermQualifier,ObjectClassTerm,PropertyTerm,RepresentationTerm,Datatype,Representation,AssociatedObjectClassTermQualifier,AssociatedObjectClass,Level,PK_REF,RefField,RefTable,Occurrence
Base,0,IDBIE,BAS Business Segment,1,Business Segment Code,ADC_ Business Segment. ID,The code of each business segment.,"XBRL GL tracks hierarchy ID, hierarchy description, and hierarchy type, so it can track code NA, description N. America, and type global area using gl-cor:accountSubID, gl-cor:accountSubDescription, and gl-cor:accountSubType, respectively. Interrelations and hierarchies are captured by gl-cor:parentSubAccountType (What is the hierarchy type this unit rolls up to?).",ADC,Business Segment,Identification,Identifier,String,%25s,,,1,PK,,,1..1
Base,1,BBIE,BAS Business Segment,2,Business Segment Name,ADC_ Business Segment. Business Segment. Name,The name of the business segment.,See above; an unlimited number of units and structures are permitted.,ADC,Business Segment,Business Segment,Name,String,%25s,,,1,,,,1..1
Base,2,BBIE,BAS Business Segment,3,Segment Reference Level,ADC_ Business Segment. Segment Reference Level. Code,The relative level of the segment with being the consolidated level and numbers increasing through lower levels of the organizational chart.,The relationships between higher-level hierarchies are captured once per Business Segment.,ADC,Business Segment,Segment Reference Level,Code,String,%2c,,,1,,,,1..1
Base,3,BBIE,BAS Business Segment,4,Organization Type Name,ADC_ Business Segment. Organization Type. Name,"Indicates the name of the organization type, for example, Department and Cost Center.",gl-bus:organizationIdentifier,ADC,Business Segment,Organization Type,Name,String,%60s,,,1,,,,1..1
Base,4,RBIE,BAS Business Segment Hierarchy,1,Parent Code,ADC_ Business Segment Hierarchy. Parent. ADC_ Business Segment,The code of the parent business segment. Shall match the Business_Segment_Code in the BAS_Business_Segment table.,gl-bus:organizationIdentifier,ADC,Business Segment Hierarchy,Parent,,String,%25s,ADC,Business Segment,1,PK/REF,Business_Segment_Code,BAS_Business_Segment,1..n
Base,5,RBIE,BAS Business Segment Hierarchy,2,Child Code,ADC_ Business Segment Hierarchy. Child. ADC_ Business Segment,The code of the child business segment. Shall match the Business_Segment_Code in the BAS_Business_Segment table.,gl-bus:organizationIdentifier,ADC,Business Segment Hierarchy,Child,,String,%25s,ADC,Business Segment,1,PK/REF,Business_Segment_Code,BAS_Business_Segment,1..n
Base,6,IDBIE,BAS Employee,1,Employee ID,ADC_ Employee. ID,The unique identifier for an employee. Typically auto-generated by the system.,gl-cor:identifierCode with gl-cor:identifierCategory = employee,ADC,Employee,Identification,Identifier,String,%60s,,,1,PK,,,1..1
Base,7,BBIE,BAS Employee,2,Employee Code,ADC_ Employee. Code,"The code of the employee. Each employee has only one code. If someone does part-time jobs in multiple departments, there will be more than one record with different Employee_ID in this table. And the part-time status will be reflected in Employee_Type_Code.",,ADC,Employee,Code,Code,String,%60s,,,1,,,,1..1
Base,8,BBIE,BAS Employee,3,Employee Name,ADC_ Employee. Name,The name of the employee.,,ADC,Employee,Name,Name,String,%100s,,,1,,,,1..1
Base,9,BBIE,BAS Employee,4,Inactive flag,ADC_ Employee. Inactive Flag. Indicator,Indicate whether one employee is active or inactive. One employee may become inactive due to some reasons such as sabbatical.,,ADC,Employee,Inactive Flag,Indicator,Boolean,%1c,,,2,,,,0..1
Base,10,BBIE,BAS Employee,5,Employee Type Code,ADC_ Employee. Type Code,"The code of the employee types. EXAMPLE Using 004 to represent an on-the-job employee, 005 to represent a retired employee, 006 to represent a deceased employee, and 007 to represent a part-time employee.",,ADC,Employee,Type Code,Code,String,%60s,,,1,,,,1..1
Base,11,BBIE,BAS Employee,6,Employee Type Name,ADC_ Employee. Type Name,"The name of the employee type. EXAMPLE Employed, retired, probation and part-time.",,ADC,Employee,Type Name,Name,String,%60s,,,1,,,,1..1
Base,12,RBIE,BAS Employee,7,Department Code,ADC_ Employee. Department. ADC_ Business Segment,The code of department rosters. EXAMPLE The IT department is designated as code 0018. Shall match the Business_Segment_Code in the BAS_Business_Segment table.,gl-bus:organizationIdentifier,ADC,Employee,Department,,String,%25s,ADC,Business Segment,1,REF,Business_Segment_Code,BAS_Business_Segment,1..n
