seq,module,ObjectClassTermQualifier,ObjectClassTerm,num,Kind,Name,Occurrence,PropertyTerm,RepresentationTerm,AssociatedObjectClassTermQualifier,AssociatedObjectClass,ReferencedObjectClassQualifier,ReferencedObjectClass,Description,DictionaryEntryName,Table,PK_REF,RefField,RefTable,Datatype,Representation,XBRLGL
1001,ADCS,,Audit Data,0,ABIE,Audit Data,1..1,Details,,,,,,,Audit Data. Details,,,,,,,
1002,ADCS,,Audit Data,1,ASBIE,Header,1..1,Associated,,,_Header,,,,Audit Data. Associated. Header,,,,,,,
1003,ADCS,,Audit Data,2,ASBIE,Master Files,0..1,Associated,,,_Master Files,,,,Audit Data. Associated. Master Files,,,,,,,
1004,ADCS,,Audit Data,3,ASBIE,Code Lists,0..1,Associated,,,_Code Lists,,,,Audit Data. Associated. Code Lists,,,,,,,
1005,ADCS,,Audit Data,4,ASBIE,Ledger Entrues,0..1,Associated,,,_Ledger Entrues,,,,Audit Data. Associated. Ledger Entrues,,,,,,,
1006,ADCS,,Audit Data,5,ASBIE,Source Documents,0..1,Associated,,,_Source Documents,,,,Audit Data. Associated. Source Documents,,,,,,,
1007,ADCS,,_Header,0,ABIE,Header,1..1,Details,,,,,,,Header. Details,,,,,,,
1008,ADCS,,_Header,1,ASBIE,Profile,1..1,Associated,,,Profile,,,,Header. Associated. Profile,,,,,,,
1009,ADCS,,_Master Files,0,ABIE,Master Files,1..1,Details,,,,,,,Master Files. Details,,,,,,,
1010,ADCS,,_Master Files,1,ASBIE,Employee,0..n,Associated,,,Employee,,,,Master Files. Associated. Employee,,,,,,,
1011,ADCS,,_Master Files,2,ASBIE,User,0..n,Associated,,,User,,,,Master Files. Associated. User,,,,,,,
1012,ADCS,,_Master Files,3,ASBIE,Customer,0..n,Associated,,,Customer,,,,Master Files. Associated. Customer,,,,,,,
1013,ADCS,,_Master Files,4,ASBIE,Supplier,0..n,Associated,,,Supplier,,,,Master Files. Associated. Supplier,,,,,,,
1014,ADCS,,_Master Files,5,ASBIE,Fiscal Period,0..n,Associated,,,Fiscal Period,,,,Master Files. Associated. Fiscal Period,,,,,,,
1015,ADCS,,_Master Files,6,ASBIE,Project,0..n,Associated,,,Project,,,,Master Files. Associated. Project,,,,,,,
1016,ADCS,,_Master Files,7,ASBIE,Bank Account,0..n,Associated,,,Bank Account,,,,Master Files. Associated. Bank Account,,,,,,,
1017,ADCS,,_Master Files,8,ASBIE,Tax Regulatory,0..n,Associated,,,Tax Regulatory,,,,Master Files. Associated. Tax Regulatory,,,,,,,
1018,ADCS,,_Master Files,9,ASBIE,Inventory Location,0..n,Associated,,,Inventory Location,,,,Master Files. Associated. Inventory Location,,,,,,,
1019,ADCS,,_Master Files,10,ASBIE,Inventory Product,0..n,Associated,,,Inventory Product,,,,Master Files. Associated. Inventory Product,,,,,,,
1020,ADCS,,_Master Files,11,ASBIE,PPE Master,0..n,Associated,,,PPE Master,,,,Master Files. Associated. PPE Master,,,,,,,
1021,ADCS,,_Master Files,12,ASBIE,Chart Of Accounts,0..n,Associated,,,Chart Of Accounts,,,,Master Files. Associated. Chart Of Accounts,,,,,,,
1022,ADCS,,_Master Files,13,ASBIE,General Ledger Source,0..n,Associated,,,General Ledger Source,,,,Master Files. Associated. General Ledger Source,,,,,,,
1023,ADCS,,_Master Files,14,ASBIE,Settlement Method,0..n,Associated,,,Settlement Method,,,,Master Files. Associated. Settlement Method,,,,,,,
1024,ADCS,,_Master Files,15,ASBIE,Business Segment,0..n,Associated,,,Business Segment,,,,Master Files. Associated. Business Segment,,,,,,,
1025,ADCS,,_Master Files,16,ASBIE,Business Segment Hierarchy,0..n,Associated,,,Business Segment Hierarchy,,,,Master Files. Associated. Business Segment Hierarchy,,,,,,,
1026,ADCS,,_Master Files,17,ASBIE,Customized Account Segment,0..n,Associated,,,Customized Account Segment,,,,Master Files. Associated. Customized Account Segment,,,,,,,
1027,ADCS,,_Master Files,18,ASBIE,Customized Account Value,0..n,Associated,,,Customized Account Value,,,,Master Files. Associated. Customized Account Value,,,,,,,
1028,ADCS,,_Ledger Entrues,0,ABIE,Ledger Entrues,1..1,Details,,,,,,,Ledger Entrues. Details,,,,,,,
1029,ADCS,,_Ledger Entrues,1,ASBIE,Trial Balance,0..n,Associated,,,Trial Balance,,,,Ledger Entrues. Associated. Trial Balance,,,,,,,
1030,ADCS,,_Ledger Entrues,2,ASBIE,General Ledger Line,0..n,Associated,,,General Ledger Line,,,,Ledger Entrues. Associated. General Ledger Line,,,,,,,
1031,ADCS,,_Ledger Entrues,3,ASBIE,General Ledger Account Segment,0..n,Associated,,,General Ledger Account Segment,,,,Ledger Entrues. Associated. General Ledger Account Segment,,,,,,,
