Module,num,Kind,Table,No,BusinessTerm,DictionaryEntryName,Description,ObjectClassTermQualifier,ObjectClassTerm,PropertyTerm,RepresentationTerm,Datatype,Representation,RelationObjectClassTermQualifier,RelationObjectClassTerm,Level,PK_REF,ATTRIBUTE,DOMAIN
1.Common,0,ASBIE,,415,Adjustment Amount,Adjusted_ Multi Currency Amount. is an. Multi Currency Amount,,Adjusted,Multi Currency Amount,is an,Code,,,,,,,,
1.Common,1,ASBIE,,417,Balance Amount,Balance_ Multi Currency Amount. is a. Multi Currency Amount,,Balance,Multi Currency Amount,is a,Code,,,,,,,,
1.Common,2,ASBIE,,419,Balance Beginning Amount,Balance Beginning_ Multi Currency Amount. is a. Multi Currency Amount,,Balance Beginning,Multi Currency Amount,is a,Code,,,,,,,,
1.Common,3,ASBIE,,421,Balance Ending Amount,Balance Ending_ Multi Currency Amount. is a. Multi Currency Amount,,Balance Ending,Multi Currency Amount,is a,Code,,,,,,,,
1.Common,4,ASBIE,,423,Debit Amount,Debit_ Multi Currency Amount. is a. Multi Currency Amount,,Debit,Multi Currency Amount,is a,Code,,,,,,,,
1.Common,5,ASBIE,,425,Transaction Amount,Transaction_ Multi Currency Amount. is a. Multi Currency Amount,,Transaction,Multi Currency Amount,is a,Code,,,,,,,,
1.Common,6,ASBIE,,427,Transaction Amount,Currency Info_ Multi Currency Amount. is a. Multi Currency Amount,,Currency Info,Multi Currency Amount,is a,Code,,,,,,,,
1.Common,7,RLBIE,,429,Created By,Created_ Handling. By. System User_ Person,A reference identifier for the user who created this activity.,Created,Handling,By,Code,,,System User,Person,,REF,,
1.Common,8,BBIE,,430,Created Date,Created_ Handling. Occurred. Code,A date value when this activity occurs or has occurred.,Created,Handling,Occurred,Code,,,,,,,,
1.Common,9,BBIE,,431,Created Time,Created_ Handling. Occurred. Code,A time value when this activity occurs or has occurred.,Created,Handling,Occurred,Code,,,,,,,,
1.Common,10,RLBIE,,433,Posted By,Posted_ Handling. By. System User_ Person,A reference identifier for the user who created this activity.,Posted,Handling,By,Code,,,System User,Person,,REF,,
1.Common,11,BBIE,,434,Posted Date,Posted_ Handling. Occurred. Code,A date value when this activity occurs or has occurred.,Posted,Handling,Occurred,Code,,,,,,,,
1.Common,12,BBIE,,435,Posted Time,Posted_ Handling. Occurred. Code,A time value when this activity occurs or has occurred.,Posted,Handling,Occurred,Code,,,,,,,,
1.Common,13,RLBIE,,437,Entered By,Entered_ Handling. By. System User_ Person,A reference identifier for the user who entered this activity.,Entered,Handling,By,Code,,,System User,Person,,REF,,
1.Common,14,BBIE,,438,Entered Date,Entered_ Handling. Occurred. Code,A date value when this activity occurs or has occurred.,Entered,Handling,Occurred,Code,,,,,,,,
1.Common,15,BBIE,,439,Entered Time,Entered_ Handling. Occurred. Code,A time value when this activity occurs or has occurred.,Entered,Handling,Occurred,Code,,,,,,,,
1.Common,16,RLBIE,,441,Approved By,Approved_ Handling. By. System User_ Person,A time value when this activity occurs or has occurred.,Approved,Handling,By,Code,,,System User,Person,,REF,,
1.Common,17,BBIE,,442,Approved Date,Approved_ Handling. Occurred. Code,A reference identifier for the user who approved this activity.,Approved,Handling,Occurred,Code,,,,,,,,
1.Common,18,BBIE,,443,Approved Time,Approved_ Handling. Occurred. Code,A date value when this activity occurs or has occurred.,Approved,Handling,Occurred,Code,,,,,,,,
