UniqueID	Kind	Dictionary Entry Name	Definition	Object Class Term	Property Term	Representation Term	Sequence Number
	DT		Complex Data Type containing Supplemental Components				
	CC		Content Component				
	SC		Supplemental Component contained within the Data Type				
UDT000001	DT	Amount. Type		Amount		Amount	
	CC	Amount. Content	A number of monetary units specified in a currency where the unit of currency is explicit or implied.	Amount			
	SC	Amount. Currency. Identifier	The currency of the amount.	Amount	Currency	Identifier	1
	SC	Amount. Currency Code List Version. Identifier	The version of the UN/ECE rec. 9 code list.	Amount	Currency Code List Version	Identifier	2
UDT000002	DT	Binary Object. Type		Binary Object		Binary Object	
	CC	Binary Object. Content	A set of finite-length sequences of binary octets.	Binary Object			
	SC	Binary Object. Format. Text	The format of the binary content.	Binary Object	Format	Text	1
	SC	Binary Object. Mime. Code	The mime type of the binary object.	Binary Object	Mime	Code	2
	SC	Binary Object. Encoding. Code	Specifies the decoding algorithm of the binary object.	Binary Object	Encoding	Code	3
	SC	Binary Object. Character Set. Code	The character set of the binary object if the mime type is text.	Binary Object	Character Set	Code	4
	SC	Binary Object. Uniform Resource. Identifier	The Uniform Resource Identifier that identifies where the binary object is located.	Binary Object	Uniform Resource	Identifier	5
	SC	Binary Object. Filename. Text	The filename of the binary object.	Binary Object	Filename	Text	6
UDT000003	DT	Graphic. Type		Graphic		Graphic	
	CC	Binary Object. Content	A set of finite-length sequences of binary octets.	Graphic			
	SC	Binary Object. Format. Text	The format of the binary content.	Graphic	Format	Text	1
	SC	Binary Object. Mime. Code	The mime type of the binary object.	Graphic	Mime	Code	2
	SC	Binary Object. Encoding. Code	Specifies the decoding algorithm of the binary object.	Graphic	Encoding	Code	3
	SC	Binary Object. Character Set. Code	The character set of the binary object if the mime type is text.	Graphic	Character Set	Code	4
	SC	Binary Object. Uniform Resource. Identifier	The Uniform Resource Identifier that identifies where the binary object is located.	Graphic	Uniform Resource	Identifier	5
	SC	Binary Object. Filename. Text	The filename of the binary object.	Graphic	Filename	Text	6
UDT000004	DT	Picture. Type		Picture		Picture	
	CC	Binary Object. Content	A set of finite-length sequences of binary octets.	Picture			
	SC	Binary Object. Format. Text	The format of the binary content.	Picture	Format	Text	1
	SC	Binary Object. Mime. Code	The mime type of the binary object.	Picture	Mime	Code	2
	SC	Binary Object. Encoding. Code	Specifies the decoding algorithm of the binary object.	Picture	Encoding	Code	3
	SC	Binary Object. Character Set. Code	The character set of the binary object if the mime type is text.	Picture	Character Set	Code	4
	SC	Binary Object. Uniform Resource. Identifier	The Uniform Resource Identifier that identifies where the binary object is located.	Picture	Uniform Resource	Identifier	5
	SC	Binary Object. Filename. Text	The filename of the binary object.	Picture	Filename	Text	6
UDT000005	DT	Sound. Type		Sound		Sound	
	CC	Binary Object. Content	A set of finite-length sequences of binary octets.	Sound			
	SC	Binary Object. Format. Text	The format of the binary content.	Sound	Format	Text	1
