Module	Kind		seq	element	Business Term	DictionaryEntryName	Description	xsd	object Class Term Qualifier	Object ClassTerm	Property Term Qualifier	Property Term	Datatype Qualifier	Representation Term	Associated Object Class Term Qualifier	Associated Object Class
cor	ABIE	1	1	gl-cor:accountingEntries	 Accounting Entries	XBRLGL_ Accounting Entries. Details	Root for XBRL GL. No entry made here.		XBRLGL	Accounting Entries						
cor	ASBIE	2	2	  gl-cor:documentInfo	 Document Information	XBRLGL_ Accounting Entries. Specified. XBRLGL_ Document Information	Parent for descriptive information about the accountingEntries section in which it is contained.		XBRLGL	Accounting Entries		Specified			XBRLGL	Document Information
cor	ABIE	3	2	  gl-cor:documentInfo	 Document Information	XBRLGL_ Document Information. Details	Parent for descriptive information about the accountingEntries section in which it is contained.		XBRLGL	Document Information						
cor	BBIE	4	3	    gl-cor:entriesType	 Entries Type. Code	XBRLGL_ Document Information. Entries Type. Code	"account: information to fill in a chart of accounts file. balance: the results of accumulation of a complete and validated list of entries for an account or a list of account in a specific period - sometimes called general ledger entries: a list of individual accounting entries, which might be posted/validated or nonposted/n journal: a self-balancing Dr= Cr list of entries for a specific period including beginning balance for that period. ledger: a complete list of entries for a specific account or list of accounts for a specific period; note - debits do not have to equal credits. assets: a listing of open receivables, payables, inventory, fixed assets or other information that can be extracted from but are not necessarily included as part of a journal n trialBalance: the self-balancing Dr= Cr result of accumulation of a complete and validated list of entries for the entity in a complete list of accounts in a specific period. taxtables: aids automated interpretation of instances that represent tax tables; Tax table are defined by using multiple [taxes] structures to gather the population of codes, authorities and rates; through [taxTableCode] cross-references in the [taxes] structure, these 'master file' tax tables can be referenced. mapping: a collection of mappings between interrelated data sets, such as a local and related corporate standard chart of accounts or detail data mapped to summarized end reporting concepts. versioning: a collection of changes between two versions of the same class of information, such as updates to a master file like a chart of accounts. master_file: a collection of master files, such as the customer or inventory master file. trade_documents: a collection of trade/transactional documents, such as vendor invoices or customer orders. profile_compliant: the meaning of this collection of information can be determined by understanding an established profile and especially an XBRL GL Profile. Profiles are determined through namespace declarations, schemaRef and conventions of those profiles. other: for all other types of representations. Often sorted by date or by account, these terms have specific, and sometimes different, meanings in different areas. Common practice will drive accounting method/term matches."	token	XBRLGL	Document Information		Entries Type		Code		
cor	BBIE	5	4	    gl-cor:uniqueID	 Unique ID	XBRLGL_ Document Information. Unique ID	Unique identifier for this file.	string	XBRLGL	Document Information		Unique ID		Text		
cor	BBIE	6	5	    gl-cor:revisesUniqueID	 Reverse Unique ID	XBRLGL_ Document Information. Reverse Unique ID	Internal ID Number associated with identifierReference	string	XBRLGL	Document Information		Reverse Unique ID		Text		
cor	BBIE	7	6	    gl-cor:revisesUniqueIDAction	 Reverse Unique ID Action. Code	XBRLGL_ Document Information. Reverse Unique ID Action. Code	Provides guidance on action to take with previous set of data: supersedes - old data should be considered as obsolete/overwritten; supplements - belongs with that data as if it was included with it.	token	XBRLGL	Document Information		Reverse Unique ID Action		Code		
cor	BBIE	8	7	    gl-cor:language	 Language. Code	XBRLGL_ Document Information. Language. Code	"Primary language of the intellectual content. Where practical, the content of this field should coincide with ISO 639-1988 language codes."	QName	XBRLGL	Document Information		Language		Code		
cor	BBIE	9	8	    gl-cor:creationDate	 Creation Date. Date Time	XBRLGL_ Document Information. Creation Date. Date Time	Date/time file was created.	dateTime	XBRLGL	Document Information		Creation Date		Date Time		
bus	BBIE	10	9	    gl-bus:creator	 Creator	XBRLGL_ Document Information. Creator	Identifies the creator of the XBRL instance.	string	XBRLGL	Document Information		Creator		Text		
cor	BBIE	11	10	    gl-cor:entriesComment	 Entries Comment	XBRLGL_ Document Information. Entries Comment	Text for entire document.	string	XBRLGL	Document Information		Entries Comment		Text		
cor	BBIE	12	11	    gl-cor:periodCoveredStart	 Period Covered Start. Date Time	XBRLGL_ Document Information. Period Covered Start. Date Time	"Start of date range for contents. Used as basis for many assumptions about data, including the date as of which open balances are open."	dateTime	XBRLGL	Document Information		Period Covered Start		Date Time		
cor	BBIE	13	12	    gl-cor:periodCoveredEnd	 Period Covered End. Date Time	XBRLGL_ Document Information. Period Covered End. Date Time	"End of date range for contents. Used as basis for many assumptions about data, including the date as of which open balances are open."	dateTime	XBRLGL	Document Information		Period Covered End		Date Time		
bus	BBIE	14	13	    gl-bus:periodCount	 Period Count. Numeric	XBRLGL_ Document Information. Period Count. Numeric	"Number of periods or buckets, used by postingCode. Used to interpret posting date. It may be preferable to limit entries by period covered to be by individual reporting period."	decimal	XBRLGL	Document Information		Period Count		Numeric		
bus	BBIE	15	14	    gl-bus:periodUnit	 Period Unit. Code	XBRLGL_ Document Information. Period Unit. Code	"Type of periods covered by periodCount. Enumerated as: daily, weekly, bi-weekly, semi-monthly, monthly, quarterly, thirdly, semiannual, annual, ad-hoc, current-period-only, other."	token	XBRLGL	Document Information		Period Unit		Code		
bus	BBIE	16	15	    gl-bus:periodUnitDescription	 Period Unit Description	XBRLGL_ Document Information. Period Unit Description	Free format description of the period unit	string	XBRLGL	Document Information		Period Unit Description		Text		
bus	BBIE	17	16	    gl-bus:sourceApplication	 Source Application	XBRLGL_ Document Information. Source Application	"Product or service that produced this file. Used by many systems e.g., VAT. Version number can be included or extended."	string	XBRLGL	Document Information		Source Application		Text		
bus	BBIE	18	17	    gl-bus:targetApplication	 Target Application	XBRLGL_ Document Information. Target Application	Particular use for which file was generated.	string	XBRLGL	Document Information		Target Application		Text		
muc	BBIE	19	18	    gl-muc:defaultCurrency	 Default Currency. Code	XBRLGL_ Document Information. Default Currency. Code	"The default currency related to the amount can be entered here instead of the XBRL instance specified way, especially important in multi-currency situations. Recommend ISO 4217 coding"	QName	XBRLGL	Document Information		Default Currency		Code		
cor	ASBIE	20	19	  gl-cor:entityInformation	 Entity Information	XBRLGL_ Accounting Entries. Specified. XBRLGL_ Entity Information	Holder for entity information - information about the reporting organization.		XBRLGL	Accounting Entries		Specified			XBRLGL	Entity Information
cor	ABIE	21	19	  gl-cor:entityInformation	 Entity Information	XBRLGL_ Entity Information. Details	Holder for entity information - information about the reporting organization.		XBRLGL	Entity Information						
bus	ASBIE	22	20	    gl-bus:entityPhoneNumber	 Phone	XBRLGL_ Entity Information. Specified. XBRLGL_ Phone	Primary phone number of the entity.		XBRLGL	Entity Information		Specified			XBRLGL	Phone
bus	ABIE	23	20	    gl-bus:entityPhoneNumber	 Phone	XBRLGL_ Phone. Details	Primary phone number of the entity.		XBRLGL	Phone						
bus	BBIE	24	21	      gl-bus:phoneNumberDescription	 Description	XBRLGL_ Phone. Description	Phone number referred to in &apos;phoneNumberDescription&apos;	token	XBRLGL	Phone		Description		Text		
bus	BBIE	25	22	      gl-bus:phoneNumber	 Number	XBRLGL_ Phone. Number	"Entity Phone Number Description such as Main, Investor relations. Enumerated as: bookkeeper, controller, direct, fax, investor-relations, main, switchboard, other."	string	XBRLGL	Phone		Number		Text		
bus	ASBIE	26	23	    gl-bus:entityFaxNumberStructure	 Fax	XBRLGL_ Entity Information. Specified. XBRLGL_ Fax	Tuple for holding company fax information.		XBRLGL	Entity Information		Specified			XBRLGL	Fax
bus	ABIE	27	23	    gl-bus:entityFaxNumberStructure	 Fax	XBRLGL_ Fax. Details	Tuple for holding company fax information.		XBRLGL	Fax						
